First responder type,First responder,Exploitation type,Age at exploitation,Gender,Nationality,People
Government agency,Gangmasters and Labour Abuse Authority GLAA,Total,Total,Total,Afghan,0
Government agency,Gangmasters and Labour Abuse Authority GLAA,Total,Total,Total,Albanian,0
Government agency,Gangmasters and Labour Abuse Authority GLAA,Total,Total,Total,Albanian Greek,0
Government agency,Gangmasters and Labour Abuse Authority GLAA,Total,Total,Total,Albanian UK,0
Government agency,Gangmasters and Labour Abuse Authority GLAA,Total,Total,Total,Albanian Unknown,0
Government agency,Gangmasters and Labour Abuse Authority GLAA,Total,Total,Total,Algerian,0
Government agency,Gangmasters and Labour Abuse Authority GLAA,Total,Total,Total,Angolan Unknown,0
Government agency,Gangmasters and Labour Abuse Authority GLAA,Total,Total,Total,Bangladeshi,0
Government agency,Gangmasters and Labour Abuse Authority GLAA,Total,Total,Total,Bangladeshi Burmese,0
Government agency,Gangmasters and Labour Abuse Authority GLAA,Total,Total,Total,Bangladeshi UK,0
Government agency,Gangmasters and Labour Abuse Authority GLAA,Total,Total,Total,Beninese,0
Government agency,Gangmasters and Labour Abuse Authority GLAA,Total,Total,Total,Bolivian,0
Government agency,Gangmasters and Labour Abuse Authority GLAA,Total,Total,Total,Botswanan,0
Government agency,Gangmasters and Labour Abuse Authority GLAA,Total,Total,Total,Brazilian,0
Government agency,Gangmasters and Labour Abuse Authority GLAA,Total,Total,Total,Bulgarian,1
Government agency,Gangmasters and Labour Abuse Authority GLAA,Total,Total,Total,Burmese Bangladeshi,0
Government agency,Gangmasters and Labour Abuse Authority GLAA,Total,Total,Total,Burundian,0
Government agency,Gangmasters and Labour Abuse Authority GLAA,Total,Total,Total,Cameroonian,0
Government agency,Gangmasters and Labour Abuse Authority GLAA,Total,Total,Total,Cape Verdean,0
Government agency,Gangmasters and Labour Abuse Authority GLAA,Total,Total,Total,Central African Malian,0
Government agency,Gangmasters and Labour Abuse Authority GLAA,Total,Total,Total,Chadian,0
Government agency,Gangmasters and Labour Abuse Authority GLAA,Total,Total,Total,Chadian Sudanese,0
Government agency,Gangmasters and Labour Abuse Authority GLAA,Total,Total,Total,Chinese,0
Government agency,Gangmasters and Labour Abuse Authority GLAA,Total,Total,Total,Citizen of Guinea-Bissau Nigerian,0
Government agency,Gangmasters and Labour Abuse Authority GLAA,Total,Total,Total,Colombian Venezuelan,0
Government agency,Gangmasters and Labour Abuse Authority GLAA,Total,Total,Total,Congolese (Drc),0
Government agency,Gangmasters and Labour Abuse Authority GLAA,Total,Total,Total,Dutch,0
Government agency,Gangmasters and Labour Abuse Authority GLAA,Total,Total,Total,Ecuadorean,0
Government agency,Gangmasters and Labour Abuse Authority GLAA,Total,Total,Total,Egyptian,1
Government agency,Gangmasters and Labour Abuse Authority GLAA,Total,Total,Total,Emirati Kuwaiti,0
Government agency,Gangmasters and Labour Abuse Authority GLAA,Total,Total,Total,Eritrean,0
Government agency,Gangmasters and Labour Abuse Authority GLAA,Total,Total,Total,Eritrean Ethiopian,0
Government agency,Gangmasters and Labour Abuse Authority GLAA,Total,Total,Total,Eritrean Sudanese,0
Government agency,Gangmasters and Labour Abuse Authority GLAA,Total,Total,Total,Estonian,0
Government agency,Gangmasters and Labour Abuse Authority GLAA,Total,Total,Total,Ethiopian,0
Government agency,Gangmasters and Labour Abuse Authority GLAA,Total,Total,Total,Filipino,0
Government agency,Gangmasters and Labour Abuse Authority GLAA,Total,Total,Total,Gambian,0
Government agency,Gangmasters and Labour Abuse Authority GLAA,Total,Total,Total,Ghanaian,0
Government agency,Gangmasters and Labour Abuse Authority GLAA,Total,Total,Total,Greek,0
Government agency,Gangmasters and Labour Abuse Authority GLAA,Total,Total,Total,Greek Iranian,0
Government agency,Gangmasters and Labour Abuse Authority GLAA,Total,Total,Total,Grenadian,0
Government agency,Gangmasters and Labour Abuse Authority GLAA,Total,Total,Total,Guinean,0
Government agency,Gangmasters and Labour Abuse Authority GLAA,Total,Total,Total,Honduran,0
Government agency,Gangmasters and Labour Abuse Authority GLAA,Total,Total,Total,Indian,9
Government agency,Gangmasters and Labour Abuse Authority GLAA,Total,Total,Total,Indian Sri Lankan,0
Government agency,Gangmasters and Labour Abuse Authority GLAA,Total,Total,Total,Iranian,0
Government agency,Gangmasters and Labour Abuse Authority GLAA,Total,Total,Total,Iraqi,0
Government agency,Gangmasters and Labour Abuse Authority GLAA,Total,Total,Total,Iraqi Unknown,0
Government agency,Gangmasters and Labour Abuse Authority GLAA,Total,Total,Total,Italian,0
Government agency,Gangmasters and Labour Abuse Authority GLAA,Total,Total,Total,Ivorian,0
Government agency,Gangmasters and Labour Abuse Authority GLAA,Total,Total,Total,Jamaican,0
Government agency,Gangmasters and Labour Abuse Authority GLAA,Total,Total,Total,Jamaican UK,0
Government agency,Gangmasters and Labour Abuse Authority GLAA,Total,Total,Total,Jordanian,0
Government agency,Gangmasters and Labour Abuse Authority GLAA,Total,Total,Total,Kazakh,0
Government agency,Gangmasters and Labour Abuse Authority GLAA,Total,Total,Total,Kenyan,0
Government agency,Gangmasters and Labour Abuse Authority GLAA,Total,Total,Total,Kosovan,0
Government agency,Gangmasters and Labour Abuse Authority GLAA,Total,Total,Total,Kuwaiti,0
Government agency,Gangmasters and Labour Abuse Authority GLAA,Total,Total,Total,Latvian,0
Government agency,Gangmasters and Labour Abuse Authority GLAA,Total,Total,Total,Libyan,0
Government agency,Gangmasters and Labour Abuse Authority GLAA,Total,Total,Total,Malaysian,0
Government agency,Gangmasters and Labour Abuse Authority GLAA,Total,Total,Total,Mauritian,0
Government agency,Gangmasters and Labour Abuse Authority GLAA,Total,Total,Total,Mexican,0
Government agency,Gangmasters and Labour Abuse Authority GLAA,Total,Total,Total,Moroccan,0
Government agency,Gangmasters and Labour Abuse Authority GLAA,Total,Total,Total,Moroccan Unknown,0
Government agency,Gangmasters and Labour Abuse Authority GLAA,Total,Total,Total,Namibian,0
Government agency,Gangmasters and Labour Abuse Authority GLAA,Total,Total,Total,Nepalese,0
Government agency,Gangmasters and Labour Abuse Authority GLAA,Total,Total,Total,Nigerian,0
Government agency,Gangmasters and Labour Abuse Authority GLAA,Total,Total,Total,Pakistani,0
Government agency,Gangmasters and Labour Abuse Authority GLAA,Total,Total,Total,Palestinian,0
Government agency,Gangmasters and Labour Abuse Authority GLAA,Total,Total,Total,Polish,0
Government agency,Gangmasters and Labour Abuse Authority GLAA,Total,Total,Total,Portuguese,0
Government agency,Gangmasters and Labour Abuse Authority GLAA,Total,Total,Total,Romanian,0
Government agency,Gangmasters and Labour Abuse Authority GLAA,Total,Total,Total,Salvadorean,0
Government agency,Gangmasters and Labour Abuse Authority GLAA,Total,Total,Total,Saudi Arabian,0
Government agency,Gangmasters and Labour Abuse Authority GLAA,Total,Total,Total,Saudi Arabian Unknown,0
Government agency,Gangmasters and Labour Abuse Authority GLAA,Total,Total,Total,Senegalese,0
Government agency,Gangmasters and Labour Abuse Authority GLAA,Total,Total,Total,Sierra Leonean,0
Government agency,Gangmasters and Labour Abuse Authority GLAA,Total,Total,Total,Somali,0
Government agency,Gangmasters and Labour Abuse Authority GLAA,Total,Total,Total,South Sudanese,0
Government agency,Gangmasters and Labour Abuse Authority GLAA,Total,Total,Total,South Sudanese Sudanese,0
Government agency,Gangmasters and Labour Abuse Authority GLAA,Total,Total,Total,Sri Lankan,0
Government agency,Gangmasters and Labour Abuse Authority GLAA,Total,Total,Total,St Lucian,0
Government agency,Gangmasters and Labour Abuse Authority GLAA,Total,Total,Total,Sudanese,0
Government agency,Gangmasters and Labour Abuse Authority GLAA,Total,Total,Total,Sudanese South Sudanese,0
Government agency,Gangmasters and Labour Abuse Authority GLAA,Total,Total,Total,Syrian,0
Government agency,Gangmasters and Labour Abuse Authority GLAA,Total,Total,Total,Taiwanese,0
Government agency,Gangmasters and Labour Abuse Authority GLAA,Total,Total,Total,Thai,0
Government agency,Gangmasters and Labour Abuse Authority GLAA,Total,Total,Total,Trinidadian,0
Government agency,Gangmasters and Labour Abuse Authority GLAA,Total,Total,Total,Tunisian,0
Government agency,Gangmasters and Labour Abuse Authority GLAA,Total,Total,Total,Turkish,0
Government agency,Gangmasters and Labour Abuse Authority GLAA,Total,Total,Total,Ugandan,0
Government agency,Gangmasters and Labour Abuse Authority GLAA,Total,Total,Total,UK,0
Government agency,Gangmasters and Labour Abuse Authority GLAA,Total,Total,Total,Vietnamese,0
Government agency,Gangmasters and Labour Abuse Authority GLAA,Total,Total,Total,Yemeni,0
Government agency,Gangmasters and Labour Abuse Authority GLAA,Total,Total,Total,Zimbabwean,0
Government agency,Gangmasters and Labour Abuse Authority GLAA,Total,Total,Total,Total,11
Government agency,Gangmasters and Labour Abuse Authority GLAA,Domestic,Total,Total,Afghan,0
Government agency,Gangmasters and Labour Abuse Authority GLAA,Domestic,Total,Total,Albanian,0
Government agency,Gangmasters and Labour Abuse Authority GLAA,Domestic,Total,Total,Albanian Greek,0
Government agency,Gangmasters and Labour Abuse Authority GLAA,Domestic,Total,Total,Albanian UK,0
Government agency,Gangmasters and Labour Abuse Authority GLAA,Domestic,Total,Total,Albanian Unknown,0
Government agency,Gangmasters and Labour Abuse Authority GLAA,Domestic,Total,Total,Algerian,0
Government agency,Gangmasters and Labour Abuse Authority GLAA,Domestic,Total,Total,Angolan Unknown,0
Government agency,Gangmasters and Labour Abuse Authority GLAA,Domestic,Total,Total,Bangladeshi,0
Government agency,Gangmasters and Labour Abuse Authority GLAA,Domestic,Total,Total,Bangladeshi Burmese,0
Government agency,Gangmasters and Labour Abuse Authority GLAA,Domestic,Total,Total,Bangladeshi UK,0
Government agency,Gangmasters and Labour Abuse Authority GLAA,Domestic,Total,Total,Beninese,0
Government agency,Gangmasters and Labour Abuse Authority GLAA,Domestic,Total,Total,Bolivian,0
Government agency,Gangmasters and Labour Abuse Authority GLAA,Domestic,Total,Total,Botswanan,0
Government agency,Gangmasters and Labour Abuse Authority GLAA,Domestic,Total,Total,Brazilian,0
Government agency,Gangmasters and Labour Abuse Authority GLAA,Domestic,Total,Total,Bulgarian,0
Government agency,Gangmasters and Labour Abuse Authority GLAA,Domestic,Total,Total,Burmese Bangladeshi,0
Government agency,Gangmasters and Labour Abuse Authority GLAA,Domestic,Total,Total,Burundian,0
Government agency,Gangmasters and Labour Abuse Authority GLAA,Domestic,Total,Total,Cameroonian,0
Government agency,Gangmasters and Labour Abuse Authority GLAA,Domestic,Total,Total,Cape Verdean,0
Government agency,Gangmasters and Labour Abuse Authority GLAA,Domestic,Total,Total,Central African Malian,0
Government agency,Gangmasters and Labour Abuse Authority GLAA,Domestic,Total,Total,Chadian,0
Government agency,Gangmasters and Labour Abuse Authority GLAA,Domestic,Total,Total,Chadian Sudanese,0
Government agency,Gangmasters and Labour Abuse Authority GLAA,Domestic,Total,Total,Chinese,0
Government agency,Gangmasters and Labour Abuse Authority GLAA,Domestic,Total,Total,Citizen of Guinea-Bissau Nigerian,0
Government agency,Gangmasters and Labour Abuse Authority GLAA,Domestic,Total,Total,Colombian Venezuelan,0
Government agency,Gangmasters and Labour Abuse Authority GLAA,Domestic,Total,Total,Congolese (Drc),0
Government agency,Gangmasters and Labour Abuse Authority GLAA,Domestic,Total,Total,Dutch,0
Government agency,Gangmasters and Labour Abuse Authority GLAA,Domestic,Total,Total,Ecuadorean,0
Government agency,Gangmasters and Labour Abuse Authority GLAA,Domestic,Total,Total,Egyptian,0
Government agency,Gangmasters and Labour Abuse Authority GLAA,Domestic,Total,Total,Emirati Kuwaiti,0
Government agency,Gangmasters and Labour Abuse Authority GLAA,Domestic,Total,Total,Eritrean,0
Government agency,Gangmasters and Labour Abuse Authority GLAA,Domestic,Total,Total,Eritrean Ethiopian,0
Government agency,Gangmasters and Labour Abuse Authority GLAA,Domestic,Total,Total,Eritrean Sudanese,0
Government agency,Gangmasters and Labour Abuse Authority GLAA,Domestic,Total,Total,Estonian,0
Government agency,Gangmasters and Labour Abuse Authority GLAA,Domestic,Total,Total,Ethiopian,0
Government agency,Gangmasters and Labour Abuse Authority GLAA,Domestic,Total,Total,Filipino,0
Government agency,Gangmasters and Labour Abuse Authority GLAA,Domestic,Total,Total,Gambian,0
Government agency,Gangmasters and Labour Abuse Authority GLAA,Domestic,Total,Total,Ghanaian,0
Government agency,Gangmasters and Labour Abuse Authority GLAA,Domestic,Total,Total,Greek,0
Government agency,Gangmasters and Labour Abuse Authority GLAA,Domestic,Total,Total,Greek Iranian,0
Government agency,Gangmasters and Labour Abuse Authority GLAA,Domestic,Total,Total,Grenadian,0
Government agency,Gangmasters and Labour Abuse Authority GLAA,Domestic,Total,Total,Guinean,0
Government agency,Gangmasters and Labour Abuse Authority GLAA,Domestic,Total,Total,Honduran,0
Government agency,Gangmasters and Labour Abuse Authority GLAA,Domestic,Total,Total,Indian,2
Government agency,Gangmasters and Labour Abuse Authority GLAA,Domestic,Total,Total,Indian Sri Lankan,0
Government agency,Gangmasters and Labour Abuse Authority GLAA,Domestic,Total,Total,Iranian,0
Government agency,Gangmasters and Labour Abuse Authority GLAA,Domestic,Total,Total,Iraqi,0
Government agency,Gangmasters and Labour Abuse Authority GLAA,Domestic,Total,Total,Iraqi Unknown,0
Government agency,Gangmasters and Labour Abuse Authority GLAA,Domestic,Total,Total,Italian,0
Government agency,Gangmasters and Labour Abuse Authority GLAA,Domestic,Total,Total,Ivorian,0
