First responder type,First responder,Exploitation type,Age at exploitation,Gender,Nationality,People
Local Authority,Local Authority,Criminal,Total,Total,Afghan,5
Local Authority,Local Authority,Criminal,Total,Total,Afghan Pakistani,0
Local Authority,Local Authority,Criminal,Total,Total,Albanian,6
Local Authority,Local Authority,Criminal,Total,Total,Algerian,1
Local Authority,Local Authority,Criminal,Total,Total,Algerian UK,0
Local Authority,Local Authority,Criminal,Total,Total,Angolan Portuguese,0
Local Authority,Local Authority,Criminal,Total,Total,Angolan UK,0
Local Authority,Local Authority,Criminal,Total,Total,Australian UK,0
Local Authority,Local Authority,Criminal,Total,Total,Bangladeshi,1
Local Authority,Local Authority,Criminal,Total,Total,Bangladeshi UK,3
Local Authority,Local Authority,Criminal,Total,Total,Beninese,0
Local Authority,Local Authority,Criminal,Total,Total,Botswanan,0
Local Authority,Local Authority,Criminal,Total,Total,Brazilian,0
Local Authority,Local Authority,Criminal,Total,Total,Brazilian UK,1
Local Authority,Local Authority,Criminal,Total,Total,British Virgin Islander Jamaican,0
Local Authority,Local Authority,Criminal,Total,Total,Bulgarian,0
Local Authority,Local Authority,Criminal,Total,Total,Bulgarian UK,1
Local Authority,Local Authority,Criminal,Total,Total,Burkinan,0
Local Authority,Local Authority,Criminal,Total,Total,Cameroonian,0
Local Authority,Local Authority,Criminal,Total,Total,Canadian UK,0
Local Authority,Local Authority,Criminal,Total,Total,Central African,1
Local Authority,Local Authority,Criminal,Total,Total,Chadian,0
Local Authority,Local Authority,Criminal,Total,Total,Chinese UK,1
Local Authority,Local Authority,Criminal,Total,Total,Citizen of Guinea Bissau,0
Local Authority,Local Authority,Criminal,Total,Total,Citizen of Guinea Bissau UK,0
Local Authority,Local Authority,Criminal,Total,Total,Colombian,0
Local Authority,Local Authority,Criminal,Total,Total,Colombian UK,1
Local Authority,Local Authority,Criminal,Total,Total,Congolese Congo UK,3
Local Authority,Local Authority,Criminal,Total,Total,Czech,1
Local Authority,Local Authority,Criminal,Total,Total,Czech UK,1
Local Authority,Local Authority,Criminal,Total,Total,Dutch,2
Local Authority,Local Authority,Criminal,Total,Total,Egyptian,0
Local Authority,Local Authority,Criminal,Total,Total,Eritrean,0
Local Authority,Local Authority,Criminal,Total,Total,Eritrean Ethiopian,0
Local Authority,Local Authority,Criminal,Total,Total,Ethiopian,0
Local Authority,Local Authority,Criminal,Total,Total,Filipino,0
Local Authority,Local Authority,Criminal,Total,Total,Filipino UK,0
Local Authority,Local Authority,Criminal,Total,Total,Finnish Nigerian,0
Local Authority,Local Authority,Criminal,Total,Total,Gambian,0
Local Authority,Local Authority,Criminal,Total,Total,German,1
Local Authority,Local Authority,Criminal,Total,Total,Ghanaian,0
Local Authority,Local Authority,Criminal,Total,Total,Ghanaian UK,1
Local Authority,Local Authority,Criminal,Total,Total,Greek,0
Local Authority,Local Authority,Criminal,Total,Total,Guinean,0
Local Authority,Local Authority,Criminal,Total,Total,Hungarian,0
Local Authority,Local Authority,Criminal,Total,Total,Indian,1
Local Authority,Local Authority,Criminal,Total,Total,Indian UK,0
Local Authority,Local Authority,Criminal,Total,Total,Iranian,1
Local Authority,Local Authority,Criminal,Total,Total,Iraqi,1
Local Authority,Local Authority,Criminal,Total,Total,Irish,1
Local Authority,Local Authority,Criminal,Total,Total,Irish UK,0
Local Authority,Local Authority,Criminal,Total,Total,Italian,1
Local Authority,Local Authority,Criminal,Total,Total,Italian Romanian,0
Local Authority,Local Authority,Criminal,Total,Total,Italian UK,1
Local Authority,Local Authority,Criminal,Total,Total,Ivorian,1
Local Authority,Local Authority,Criminal,Total,Total,Jamaican,1
Local Authority,Local Authority,Criminal,Total,Total,Jamaican Pakistani,1
Local Authority,Local Authority,Criminal,Total,Total,Jamaican UK,1
Local Authority,Local Authority,Criminal,Total,Total,Jordanian UK,0
Local Authority,Local Authority,Criminal,Total,Total,Kenyan UK,0
Local Authority,Local Authority,Criminal,Total,Total,Kuwaiti,0
Local Authority,Local Authority,Criminal,Total,Total,Latvian,1
Local Authority,Local Authority,Criminal,Total,Total,Latvian UK,1
Local Authority,Local Authority,Criminal,Total,Total,Lebanese UK,0
Local Authority,Local Authority,Criminal,Total,Total,Libyan,0
Local Authority,Local Authority,Criminal,Total,Total,Lithuanian,2
Local Authority,Local Authority,Criminal,Total,Total,Moroccan,0
Local Authority,Local Authority,Criminal,Total,Total,Moroccan UK,1
Local Authority,Local Authority,Criminal,Total,Total,Namibian,0
Local Authority,Local Authority,Criminal,Total,Total,Nigerian,1
Local Authority,Local Authority,Criminal,Total,Total,Nigerian UK,1
Local Authority,Local Authority,Criminal,Total,Total,Pakistani,0
Local Authority,Local Authority,Criminal,Total,Total,Pakistani UK,8
Local Authority,Local Authority,Criminal,Total,Total,Polish,6
Local Authority,Local Authority,Criminal,Total,Total,Polish UK,1
Local Authority,Local Authority,Criminal,Total,Total,Portuguese,1
Local Authority,Local Authority,Criminal,Total,Total,Portuguese UK,1
Local Authority,Local Authority,Criminal,Total,Total,Romanian,19
Local Authority,Local Authority,Criminal,Total,Total,Romanian Spanish,1
Local Authority,Local Authority,Criminal,Total,Total,Russian,1
Local Authority,Local Authority,Criminal,Total,Total,Russian UK,1
Local Authority,Local Authority,Criminal,Total,Total,Saudi Arabian,0
Local Authority,Local Authority,Criminal,Total,Total,Senegalese,0
Local Authority,Local Authority,Criminal,Total,Total,Sierra Leonean,0
Local Authority,Local Authority,Criminal,Total,Total,Sierra Leonean UK,1
Local Authority,Local Authority,Criminal,Total,Total,Slovak,3
Local Authority,Local Authority,Criminal,Total,Total,Somali,0
Local Authority,Local Authority,Criminal,Total,Total,Somali UK,4
Local Authority,Local Authority,Criminal,Total,Total,South African UK,1
Local Authority,Local Authority,Criminal,Total,Total,South Sudanese,0
Local Authority,Local Authority,Criminal,Total,Total,Spanish,0
Local Authority,Local Authority,Criminal,Total,Total,Spanish UK,0
Local Authority,Local Authority,Criminal,Total,Total,Sri Lankan,0
Local Authority,Local Authority,Criminal,Total,Total,St Lucian UK,1
Local Authority,Local Authority,Criminal,Total,Total,Sudanese,2
Local Authority,Local Authority,Criminal,Total,Total,Sudanese UK,0
Local Authority,Local Authority,Criminal,Total,Total,Swedish Somali,1
Local Authority,Local Authority,Criminal,Total,Total,Syrian,0
Local Authority,Local Authority,Criminal,Total,Total,Tanzanian,1
Local Authority,Local Authority,Criminal,Total,Total,Thai UK,1
Local Authority,Local Authority,Criminal,Total,Total,Turkish,1
Local Authority,Local Authority,Criminal,Total,Total,Turkish UK,3
Local Authority,Local Authority,Criminal,Total,Total,UK,354
Local Authority,Local Authority,Criminal,Total,Total,UK Yemeni,1
Local Authority,Local Authority,Criminal,Total,Total,UK Zimbabwean,1
Local Authority,Local Authority,Criminal,Total,Total,Unknown UK,2
Local Authority,Local Authority,Criminal,Total,Total,Unknown Zimbabwean,1
Local Authority,Local Authority,Criminal,Total,Total,Vietnamese,1
Local Authority,Local Authority,Criminal,Total,Total,Yemeni,0
Local Authority,Local Authority,Criminal,Total,Total,Zambian,0
Local Authority,Local Authority,Criminal,Total,Total,Zimbabwean,0
Local Authority,Local Authority,Criminal,Total,Total,Total,465
Local Authority,Local Authority,Criminal,Adult (18 or over),Total,Afghan,0
Local Authority,Local Authority,Criminal,Adult (18 or over),Total,Afghan Pakistani,0
Local Authority,Local Authority,Criminal,Adult (18 or over),Total,Albanian,0
Local Authority,Local Authority,Criminal,Adult (18 or over),Total,Algerian,0
