First responder type,First responder,Exploitation type,Age at exploitation,Gender,Nationality,People
NGO and third sector,Barnardo's,Total,Total,Total,Albanian,3
NGO and third sector,Barnardo's,Total,Total,Total,Algerian,1
NGO and third sector,Barnardo's,Total,Total,Total,American UK,0
NGO and third sector,Barnardo's,Total,Total,Total,Australian,0
NGO and third sector,Barnardo's,Total,Total,Total,Bangladeshi,0
NGO and third sector,Barnardo's,Total,Total,Total,Beninese,0
NGO and third sector,Barnardo's,Total,Total,Total,Brazilian,0
NGO and third sector,Barnardo's,Total,Total,Total,Brazilian Portuguese,0
NGO and third sector,Barnardo's,Total,Total,Total,Bulgarian,0
NGO and third sector,Barnardo's,Total,Total,Total,Cameroonian,0
NGO and third sector,Barnardo's,Total,Total,Total,Central African UK,0
NGO and third sector,Barnardo's,Total,Total,Total,Chinese,0
NGO and third sector,Barnardo's,Total,Total,Total,Congolese (Congo),0
NGO and third sector,Barnardo's,Total,Total,Total,Congolese (DRC),0
NGO and third sector,Barnardo's,Total,Total,Total,Dominican,0
NGO and third sector,Barnardo's,Total,Total,Total,Dutch,0
NGO and third sector,Barnardo's,Total,Total,Total,Egyptian,0
NGO and third sector,Barnardo's,Total,Total,Total,Eritrean,1
NGO and third sector,Barnardo's,Total,Total,Total,Ethiopian,0
NGO and third sector,Barnardo's,Total,Total,Total,Filipino,0
NGO and third sector,Barnardo's,Total,Total,Total,Finnish,0
NGO and third sector,Barnardo's,Total,Total,Total,Gambian,0
NGO and third sector,Barnardo's,Total,Total,Total,Georgian,0
NGO and third sector,Barnardo's,Total,Total,Total,Ghanaian,0
NGO and third sector,Barnardo's,Total,Total,Total,Grenadian,0
NGO and third sector,Barnardo's,Total,Total,Total,Guinean,1
NGO and third sector,Barnardo's,Total,Total,Total,Indian,0
NGO and third sector,Barnardo's,Total,Total,Total,Iranian,1
NGO and third sector,Barnardo's,Total,Total,Total,Iraqi,2
NGO and third sector,Barnardo's,Total,Total,Total,Irish,0
NGO and third sector,Barnardo's,Total,Total,Total,Italian Pakistani,0
NGO and third sector,Barnardo's,Total,Total,Total,Ivorian,0
NGO and third sector,Barnardo's,Total,Total,Total,Jamaican,0
NGO and third sector,Barnardo's,Total,Total,Total,Kenyan,0
NGO and third sector,Barnardo's,Total,Total,Total,Kosovan,0
NGO and third sector,Barnardo's,Total,Total,Total,Kuwaiti,0
NGO and third sector,Barnardo's,Total,Total,Total,Lithuanian,0
NGO and third sector,Barnardo's,Total,Total,Total,Macedonian,0
NGO and third sector,Barnardo's,Total,Total,Total,Mauritian,0
NGO and third sector,Barnardo's,Total,Total,Total,Mexican,0
NGO and third sector,Barnardo's,Total,Total,Total,Namibian,0
NGO and third sector,Barnardo's,Total,Total,Total,Nigerian,0
NGO and third sector,Barnardo's,Total,Total,Total,Pakistani,0
NGO and third sector,Barnardo's,Total,Total,Total,Palestinian,0
NGO and third sector,Barnardo's,Total,Total,Total,Romanian,1
NGO and third sector,Barnardo's,Total,Total,Total,Sierra Leonean,0
NGO and third sector,Barnardo's,Total,Total,Total,Sierra Leonean UK,0
NGO and third sector,Barnardo's,Total,Total,Total,Somali,0
NGO and third sector,Barnardo's,Total,Total,Total,South Sudanese,0
NGO and third sector,Barnardo's,Total,Total,Total,Spanish,0
NGO and third sector,Barnardo's,Total,Total,Total,Sudanese,1
NGO and third sector,Barnardo's,Total,Total,Total,Swedish,0
NGO and third sector,Barnardo's,Total,Total,Total,Syrian,0
NGO and third sector,Barnardo's,Total,Total,Total,Tanzanian,0
NGO and third sector,Barnardo's,Total,Total,Total,Thai,0
NGO and third sector,Barnardo's,Total,Total,Total,Trinidadian,0
NGO and third sector,Barnardo's,Total,Total,Total,UK,6
NGO and third sector,Barnardo's,Total,Total,Total,UK Zimbabwean,0
NGO and third sector,Barnardo's,Total,Total,Total,Unknown,0
NGO and third sector,Barnardo's,Total,Total,Total,Vietnamese,0
NGO and third sector,Barnardo's,Total,Total,Total,Zimbabwean,0
NGO and third sector,Barnardo's,Total,Total,Total,Total,17
NGO and third sector,Barnardo's,Criminal,Total,Total,Albanian,2
NGO and third sector,Barnardo's,Criminal,Total,Total,Algerian,1
NGO and third sector,Barnardo's,Criminal,Total,Total,American UK,0
NGO and third sector,Barnardo's,Criminal,Total,Total,Australian,0
NGO and third sector,Barnardo's,Criminal,Total,Total,Bangladeshi,0
NGO and third sector,Barnardo's,Criminal,Total,Total,Beninese,0
NGO and third sector,Barnardo's,Criminal,Total,Total,Brazilian,0
NGO and third sector,Barnardo's,Criminal,Total,Total,Brazilian Portuguese,0
NGO and third sector,Barnardo's,Criminal,Total,Total,Bulgarian,0
NGO and third sector,Barnardo's,Criminal,Total,Total,Cameroonian,0
NGO and third sector,Barnardo's,Criminal,Total,Total,Central African UK,0
NGO and third sector,Barnardo's,Criminal,Total,Total,Chinese,0
NGO and third sector,Barnardo's,Criminal,Total,Total,Congolese (Congo),0
NGO and third sector,Barnardo's,Criminal,Total,Total,Congolese (DRC),0
NGO and third sector,Barnardo's,Criminal,Total,Total,Dominican,0
NGO and third sector,Barnardo's,Criminal,Total,Total,Dutch,0
NGO and third sector,Barnardo's,Criminal,Total,Total,Egyptian,0
NGO and third sector,Barnardo's,Criminal,Total,Total,Eritrean,0
NGO and third sector,Barnardo's,Criminal,Total,Total,Ethiopian,0
NGO and third sector,Barnardo's,Criminal,Total,Total,Filipino,0
NGO and third sector,Barnardo's,Criminal,Total,Total,Finnish,0
NGO and third sector,Barnardo's,Criminal,Total,Total,Gambian,0
NGO and third sector,Barnardo's,Criminal,Total,Total,Georgian,0
NGO and third sector,Barnardo's,Criminal,Total,Total,Ghanaian,0
NGO and third sector,Barnardo's,Criminal,Total,Total,Grenadian,0
NGO and third sector,Barnardo's,Criminal,Total,Total,Guinean,0
NGO and third sector,Barnardo's,Criminal,Total,Total,Indian,0
NGO and third sector,Barnardo's,Criminal,Total,Total,Iranian,0
NGO and third sector,Barnardo's,Criminal,Total,Total,Iraqi,0
NGO and third sector,Barnardo's,Criminal,Total,Total,Irish,0
NGO and third sector,Barnardo's,Criminal,Total,Total,Italian Pakistani,0
NGO and third sector,Barnardo's,Criminal,Total,Total,Ivorian,0
NGO and third sector,Barnardo's,Criminal,Total,Total,Jamaican,0
NGO and third sector,Barnardo's,Criminal,Total,Total,Kenyan,0
NGO and third sector,Barnardo's,Criminal,Total,Total,Kosovan,0
NGO and third sector,Barnardo's,Criminal,Total,Total,Kuwaiti,0
NGO and third sector,Barnardo's,Criminal,Total,Total,Lithuanian,0
NGO and third sector,Barnardo's,Criminal,Total,Total,Macedonian,0
NGO and third sector,Barnardo's,Criminal,Total,Total,Mauritian,0
NGO and third sector,Barnardo's,Criminal,Total,Total,Mexican,0
NGO and third sector,Barnardo's,Criminal,Total,Total,Namibian,0
NGO and third sector,Barnardo's,Criminal,Total,Total,Nigerian,0
NGO and third sector,Barnardo's,Criminal,Total,Total,Pakistani,0
NGO and third sector,Barnardo's,Criminal,Total,Total,Palestinian,0
NGO and third sector,Barnardo's,Criminal,Total,Total,Romanian,0
NGO and third sector,Barnardo's,Criminal,Total,Total,Sierra Leonean,0
NGO and third sector,Barnardo's,Criminal,Total,Total,Sierra Leonean UK,0
NGO and third sector,Barnardo's,Criminal,Total,Total,Somali,0
NGO and third sector,Barnardo's,Criminal,Total,Total,South Sudanese,0
NGO and third sector,Barnardo's,Criminal,Total,Total,Spanish,0
NGO and third sector,Barnardo's,Criminal,Total,Total,Sudanese,0
NGO and third sector,Barnardo's,Criminal,Total,Total,Swedish,0
NGO and third sector,Barnardo's,Criminal,Total,Total,Syrian,0
NGO and third sector,Barnardo's,Criminal,Total,Total,Tanzanian,0
NGO and third sector,Barnardo's,Criminal,Total,Total,Thai,0
NGO and third sector,Barnardo's,Criminal,Total,Total,Trinidadian,0
NGO and third sector,Barnardo's,Criminal,Total,Total,UK,1
NGO and third sector,Barnardo's,Criminal,Total,Total,UK Zimbabwean,0
NGO and third sector,Barnardo's,Criminal,Total,Total,Unknown,0
NGO and third sector,Barnardo's,Criminal,Total,Total,Vietnamese,0
NGO and third sector,Barnardo's,Criminal,Total,Total,Zimbabwean,0
NGO and third sector,Barnardo's,Criminal,Total,Total,Total,4
NGO and third sector,Barnardo's,Criminal,Adult (18 or over),Total,Albanian,1
NGO and third sector,Barnardo's,Criminal,Adult (18 or over),Total,Algerian,0
NGO and third sector,Barnardo's,Criminal,Adult (18 or over),Total,American UK,0
NGO and third sector,Barnardo's,Criminal,Adult (18 or over),Total,Australian,0
NGO and third sector,Barnardo's,Criminal,Adult (18 or over),Total,Bangladeshi,0
NGO and third sector,Barnardo's,Criminal,Adult (18 or over),Total,Beninese,0
NGO and third sector,Barnardo's,Criminal,Adult (18 or over),Total,Brazilian,0
NGO and third sector,Barnardo's,Criminal,Adult (18 or over),Total,Brazilian Portuguese,0
NGO and third sector,Barnardo's,Criminal,Adult (18 or over),Total,Bulgarian,0
NGO and third sector,Barnardo's,Criminal,Adult (18 or over),Total,Cameroonian,0
NGO and third sector,Barnardo's,Criminal,Adult (18 or over),Total,Central African UK,0
NGO and third sector,Barnardo's,Criminal,Adult (18 or over),Total,Chinese,0
NGO and third sector,Barnardo's,Criminal,Adult (18 or over),Total,Congolese (Congo),0
NGO and third sector,Barnardo's,Criminal,Adult (18 or over),Total,Congolese (DRC),0
NGO and third sector,Barnardo's,Criminal,Adult (18 or over),Total,Dominican,0
NGO and third sector,Barnardo's,Criminal,Adult (18 or over),Total,Dutch,0
NGO and third sector,Barnardo's,Criminal,Adult (18 or over),Total,Egyptian,0
NGO and third sector,Barnardo's,Criminal,Adult (18 or over),Total,Eritrean,0
NGO and third sector,Barnardo's,Criminal,Adult (18 or over),Total,Ethiopian,0
NGO and third sector,Barnardo's,Criminal,Adult (18 or over),Total,Filipino,0
NGO and third sector,Barnardo's,Criminal,Adult (18 or over),Total,Finnish,0
NGO and third sector,Barnardo's,Criminal,Adult (18 or over),Total,Gambian,0
NGO and third sector,Barnardo's,Criminal,Adult (18 or over),Total,Georgian,0
NGO and third sector,Barnardo's,Criminal,Adult (18 or over),Total,Ghanaian,0
NGO and third sector,Barnardo's,Criminal,Adult (18 or over),Total,Grenadian,0
