First responder type,First responder,Exploitation type,Age at exploitation,Gender,Nationality,People
Local Authority,Local Authority,Criminal,Total,Total,Afghan,4
Local Authority,Local Authority,Criminal,Total,Total,Afghan UK,1
Local Authority,Local Authority,Criminal,Total,Total,Albanian,5
Local Authority,Local Authority,Criminal,Total,Total,Algerian,1
Local Authority,Local Authority,Criminal,Total,Total,Algerian UK,1
Local Authority,Local Authority,Criminal,Total,Total,Andorran Lithuanian,0
Local Authority,Local Authority,Criminal,Total,Total,Angolan Portuguese,0
Local Authority,Local Authority,Criminal,Total,Total,Argentine UK,0
Local Authority,Local Authority,Criminal,Total,Total,Austrian,1
Local Authority,Local Authority,Criminal,Total,Total,Bangladeshi,0
Local Authority,Local Authority,Criminal,Total,Total,Bangladeshi Italian,1
Local Authority,Local Authority,Criminal,Total,Total,Bangladeshi UK,0
Local Authority,Local Authority,Criminal,Total,Total,Botswanan,1
Local Authority,Local Authority,Criminal,Total,Total,Brazilian,1
Local Authority,Local Authority,Criminal,Total,Total,British Virgin Islander UK,0
Local Authority,Local Authority,Criminal,Total,Total,Bulgarian,1
Local Authority,Local Authority,Criminal,Total,Total,Central African,3
Local Authority,Local Authority,Criminal,Total,Total,Central African Italian,0
Local Authority,Local Authority,Criminal,Total,Total,Central African UK,1
Local Authority,Local Authority,Criminal,Total,Total,Central African Zimbabwean,0
Local Authority,Local Authority,Criminal,Total,Total,Chadian,0
Local Authority,Local Authority,Criminal,Total,Total,Chinese,0
Local Authority,Local Authority,Criminal,Total,Total,Citizen of the Dominican Republic,0
Local Authority,Local Authority,Criminal,Total,Total,Colombian,0
Local Authority,Local Authority,Criminal,Total,Total,Colombian UK,1
Local Authority,Local Authority,Criminal,Total,Total,Congolese Congo UK,1
Local Authority,Local Authority,Criminal,Total,Total,Congolese Drc ,0
Local Authority,Local Authority,Criminal,Total,Total,Congolese Drc UK,1
Local Authority,Local Authority,Criminal,Total,Total,Czech,0
Local Authority,Local Authority,Criminal,Total,Total,Dominican UK,1
Local Authority,Local Authority,Criminal,Total,Total,Dutch,2
Local Authority,Local Authority,Criminal,Total,Total,Dutch Somali,2
Local Authority,Local Authority,Criminal,Total,Total,Egyptian,0
Local Authority,Local Authority,Criminal,Total,Total,Eritrean,0
Local Authority,Local Authority,Criminal,Total,Total,Eritrean South African,1
Local Authority,Local Authority,Criminal,Total,Total,Ethiopian,0
Local Authority,Local Authority,Criminal,Total,Total,Filipino,0
Local Authority,Local Authority,Criminal,Total,Total,Gambian,1
Local Authority,Local Authority,Criminal,Total,Total,German,1
Local Authority,Local Authority,Criminal,Total,Total,German UK,0
Local Authority,Local Authority,Criminal,Total,Total,Ghanaian,2
Local Authority,Local Authority,Criminal,Total,Total,Ghanaian UK,0
Local Authority,Local Authority,Criminal,Total,Total,Greek,1
Local Authority,Local Authority,Criminal,Total,Total,Hungarian,0
Local Authority,Local Authority,Criminal,Total,Total,Indian,0
Local Authority,Local Authority,Criminal,Total,Total,Indian Portuguese,1
Local Authority,Local Authority,Criminal,Total,Total,Indian Unknown,0
Local Authority,Local Authority,Criminal,Total,Total,Iranian,0
Local Authority,Local Authority,Criminal,Total,Total,Iranian UK,1
Local Authority,Local Authority,Criminal,Total,Total,Iraqi,0
Local Authority,Local Authority,Criminal,Total,Total,Irish,2
Local Authority,Local Authority,Criminal,Total,Total,Irish UK,2
Local Authority,Local Authority,Criminal,Total,Total,Italian,1
Local Authority,Local Authority,Criminal,Total,Total,Italian UK,2
Local Authority,Local Authority,Criminal,Total,Total,Jamaican UK,6
Local Authority,Local Authority,Criminal,Total,Total,Latvian,3
Local Authority,Local Authority,Criminal,Total,Total,Latvian UK,2
Local Authority,Local Authority,Criminal,Total,Total,Lithuanian,3
Local Authority,Local Authority,Criminal,Total,Total,Mauritian,1
Local Authority,Local Authority,Criminal,Total,Total,Moroccan,0
Local Authority,Local Authority,Criminal,Total,Total,Nepalese,1
Local Authority,Local Authority,Criminal,Total,Total,Nigerian,0
Local Authority,Local Authority,Criminal,Total,Total,Nigerian UK,1
Local Authority,Local Authority,Criminal,Total,Total,Nigerien,0
Local Authority,Local Authority,Criminal,Total,Total,Pakistani,0
Local Authority,Local Authority,Criminal,Total,Total,Pakistani Spanish,1
Local Authority,Local Authority,Criminal,Total,Total,Pakistani UK,6
Local Authority,Local Authority,Criminal,Total,Total,Polish,3
Local Authority,Local Authority,Criminal,Total,Total,Polish UK,2
Local Authority,Local Authority,Criminal,Total,Total,Portuguese,2
Local Authority,Local Authority,Criminal,Total,Total,Portuguese UK,4
