First responder type,First responder,Exploitation type,Age at exploitation,Gender,Nationality,People
Local Authority,Local Authority,Criminal,Total,Total,Afghan,2
Local Authority,Local Authority,Criminal,Total,Total,Afghan Russian,0
Local Authority,Local Authority,Criminal,Total,Total,Afghan UK,1
Local Authority,Local Authority,Criminal,Total,Total,Afghan Unknown,0
Local Authority,Local Authority,Criminal,Total,Total,Albanian,12
Local Authority,Local Authority,Criminal,Total,Total,Albanian UK,1
Local Authority,Local Authority,Criminal,Total,Total,Algerian,1
Local Authority,Local Authority,Criminal,Total,Total,Algerian UK,1
Local Authority,Local Authority,Criminal,Total,Total,Andorran UK,0
Local Authority,Local Authority,Criminal,Total,Total,Angolan Portuguese,0
Local Authority,Local Authority,Criminal,Total,Total,Angolan UK,1
Local Authority,Local Authority,Criminal,Total,Total,Armenian,1
Local Authority,Local Authority,Criminal,Total,Total,Armenian Bulgarian,1
Local Authority,Local Authority,Criminal,Total,Total,Bangladeshi,0
Local Authority,Local Authority,Criminal,Total,Total,Bangladeshi Italian,1
Local Authority,Local Authority,Criminal,Total,Total,Bangladeshi UK,0
Local Authority,Local Authority,Criminal,Total,Total,Beninese UK,1
Local Authority,Local Authority,Criminal,Total,Total,Bermudian,0
Local Authority,Local Authority,Criminal,Total,Total,Botswanan UK,0
Local Authority,Local Authority,Criminal,Total,Total,British Virgin Islander Citizen of the Dominican Republic,0
Local Authority,Local Authority,Criminal,Total,Total,Bulgarian,1
Local Authority,Local Authority,Criminal,Total,Total,Bulgarian Nigerian,0
Local Authority,Local Authority,Criminal,Total,Total,Bulgarian Spanish,0
Local Authority,Local Authority,Criminal,Total,Total,Cameroonian UK,0
Local Authority,Local Authority,Criminal,Total,Total,Central African Nigerian,0
Local Authority,Local Authority,Criminal,Total,Total,Central African UK,2
Local Authority,Local Authority,Criminal,Total,Total,Chadian,0
Local Authority,Local Authority,Criminal,Total,Total,Chinese,0
Local Authority,Local Authority,Criminal,Total,Total,Chinese UK,1
Local Authority,Local Authority,Criminal,Total,Total,Citizen of the Dominican Republic Spanish,1
Local Authority,Local Authority,Criminal,Total,Total,Cypriot,0
Local Authority,Local Authority,Criminal,Total,Total,Czech,0
Local Authority,Local Authority,Criminal,Total,Total,Czech UK,0
Local Authority,Local Authority,Criminal,Total,Total,Dutch,1
Local Authority,Local Authority,Criminal,Total,Total,Dutch UK,1
Local Authority,Local Authority,Criminal,Total,Total,Egyptian,1
Local Authority,Local Authority,Criminal,Total,Total,Egyptian Kuwaiti,0
Local Authority,Local Authority,Criminal,Total,Total,Eritrean,1
Local Authority,Local Authority,Criminal,Total,Total,Eritrean Ethiopian,0
Local Authority,Local Authority,Criminal,Total,Total,Eritrean UK,3
Local Authority,Local Authority,Criminal,Total,Total,Ethiopian,0
Local Authority,Local Authority,Criminal,Total,Total,Ethiopian UK,1
Local Authority,Local Authority,Criminal,Total,Total,Fijian UK,1
Local Authority,Local Authority,Criminal,Total,Total,Filipino,1
