Year of application,Geographical region,Nationality,Applications,Initial decisions,Granted asylum,Granted HP/DL,Other grants,Refused,Applications withdrawn,Initial decisions not yet known,Appeals lodged,Allowed appeals,Dismissed appeals,Withdrawn appeals,Appeal outcome not yet known,Enforced returns,Voluntary returns,Assisted returns (Subset of Voluntary returns),Controlled returns (Subset of Voluntary returns),Other verified returns (Subset of Voluntary returns),Final outcome: Grants of asylum,Final outcomes: Grants of HP/DL and other,Final outcomes: Refused asylum or HP or DL or other leave,Final outcome: Withdrawn application,Final outcome: Cases with final outcome not yet known
2011,Asia South East,Indonesia,17,11,0,1,0,10,5,1,9,1,7,1,0,2,1,1,0,0,0,2,9,5,1
2011,Middle East,Iran,2399,2317,992,99,1,1225,72,10,1085,338,648,82,17,129,124,80,19,25,1322,99,882,70,26
2011,Middle East,Iraq,300,265,38,29,3,195,35,0,169,35,112,19,3,28,57,39,9,9,68,35,159,35,3
2011,EU 14,Ireland,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2011,Middle East,Israel,3,1,0,0,0,1,2,0,0,0,0,0,0,1,1,0,1,0,0,0,1,2,0
2011,EU 14,Italy,5,1,0,0,0,1,3,1,1,0,1,0,0,2,0,0,0,0,0,0,1,3,1
2011,Africa Sub-Saharan,Ivory Coast,145,138,20,7,0,111,7,0,98,26,68,4,0,14,10,5,3,2,41,11,86,7,0
2011,America Central and South,Jamaica,138,121,21,16,0,84,16,1,34,8,24,2,0,51,8,3,5,0,25,20,76,16,1
2011,Asia East,Japan,4,3,0,0,0,3,1,0,1,1,0,0,0,0,4,2,2,0,0,1,2,1,0
2011,Middle East,Jordan,17,15,0,0,0,15,2,0,13,3,10,0,0,7,5,2,2,1,3,0,12,2,0
2011,Asia Central,Kazakhstan,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
2011,Africa Sub-Saharan,Kenya,103,93,16,8,2,67,10,0,53,7,43,3,0,27,4,2,2,0,22,11,60,10,0
2011,Oceania,Kiribati,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,Asia East,Korea (North),17,17,2,1,0,14,0,0,11,5,3,3,0,0,0,0,0,0,5,3,9,0,0
2011,Asia East,Korea (South),5,5,0,1,0,4,0,0,0,0,0,0,0,2,1,0,0,1,0,1,4,0,0
2011,Europe Other,Kosovo,18,12,0,2,0,10,5,1,3,1,1,1,0,8,0,0,0,0,0,3,9,5,1
2011,Middle East,Kuwait,33,29,9,1,0,19,4,0,18,2,16,0,0,2,2,1,1,0,11,1,17,4,0
2011,Asia Central,Kyrgyzstan,7,6,3,1,0,2,1,0,1,0,1,0,0,1,2,2,0,0,3,1,2,1,0
2011,Asia South East,Laos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,EU 8,Latvia,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
2011,Middle East,Lebanon,34,33,2,1,0,30,1,0,26,6,20,0,0,2,5,2,1,2,7,2,25,0,0
2011,Africa Sub-Saharan,Lesotho,1,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0
2011,Africa Sub-Saharan,Liberia,12,12,0,1,0,11,0,0,7,2,4,1,0,4,2,1,1,0,2,1,9,0,0
2011,Africa North,Libya,711,634,87,31,0,516,75,2,437,96,271,55,15,23,203,72,104,27,156,58,406,74,17
2011,Europe Other,Liechtenstein,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,EU 8,Lithuania,2,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0
2011,EU 14,Luxembourg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,Asia East,Macau,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,Europe Other,Macedonia,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2011,Africa Sub-Saharan,Madagascar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,Africa Sub-Saharan,Malawi,130,125,9,17,1,98,5,0,72,18,45,9,0,25,11,10,1,0,20,25,80,5,0
2011,Asia South East,Malaysia,63,51,10,1,0,40,12,0,21,3,17,0,1,28,8,5,3,0,12,2,36,12,1
2011,Asia South,Maldives,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,Africa Sub-Saharan,Mali,7,7,1,0,0,6,0,0,3,0,3,0,0,3,1,1,0,0,1,0,6,0,0
2011,EU Other,Malta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,Oceania,Marshall Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,America Central and South,Martinique,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,Africa North,Mauritania,2,2,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0
2011,Africa Sub-Saharan,Mauritius,36,30,0,4,0,26,6,0,9,3,6,0,0,9,9,4,5,0,2,5,23,6,0
2011,Africa Sub-Saharan,Mayotte,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,America Central and South,Mexico,9,8,0,0,0,8,1,0,7,2,5,0,0,1,5,4,0,1,0,2,6,1,0
2011,Oceania,Micronesia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,Europe Other,Moldova,4,4,1,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,2,1,0,0
2011,Europe Other,Monaco,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,Asia East,Mongolia,36,31,2,3,0,26,5,0,15,3,10,1,1,9,5,4,0,1,5,3,23,4,1
2011,Europe Other,Montenegro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,Other,Montserrat (British),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,Africa North,Morocco,87,64,4,18,0,42,23,0,35,5,27,1,2,24,16,1,3,12,7,20,35,23,2
2011,Africa Sub-Saharan,Mozambique,2,2,0,0,0,2,0,0,1,0,1,0,0,1,0,0,0,0,0,0,2,0,0
2011,Africa Sub-Saharan,Namibia,13,9,0,0,0,9,4,0,8,1,5,2,0,5,6,6,0,0,0,1,8,4,0
2011,Oceania,Nauru,2,2,0,0,0,2,0,0,2,0,2,0,0,0,0,0,0,0,0,0,2,0,0
2011,Asia South,Nepal,32,30,0,0,0,30,2,0,19,1,17,0,1,14,12,9,3,0,1,0,28,2,1
2011,EU 14,Netherlands,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
2011,America Central and South,Netherlands Antilles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,Oceania,New Caledonia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,Oceania,New Zealand,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,America Central and South,Nicaragua,2,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0
2011,Africa Sub-Saharan,Niger,3,3,0,0,0,3,0,0,2,1,1,0,0,1,0,0,0,0,1,0,2,0,0
2011,Africa Sub-Saharan,Nigeria,717,618,36,41,8,533,95,4,321,63,227,22,9,232,72,46,16,10,77,69,463,95,13
2011,Oceania,Niue,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,Oceania,Norfolk Island,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,Oceania,Northern Mariana Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,Europe Other,Norway,1,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0
2011,Middle East,Occupied Palestinian Territories,170,119,10,12,1,96,50,1,83,8,73,1,1,5,12,2,4,6,17,14,87,50,2
2011,Middle East,Oman,2,2,0,0,0,2,0,0,2,0,2,0,0,2,0,0,0,0,0,0,2,0,0
2011,Other,Other and unknown,53,6,1,0,0,5,1,46,3,1,2,0,0,1,3,1,1,1,2,0,4,1,46
2011,Asia South,Pakistan,2366,2103,268,44,3,1788,254,9,1447,251,1108,76,12,595,462,274,127,61,496,64,1533,254,19
2011,Oceania,Palau,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,America Central and South,Panama,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2011,Oceania,Papua New Guinea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,America Central and South,Paraguay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,America Central and South,Peru,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0
2011,Asia South East,Philippines,10,8,0,0,0,8,2,0,5,0,5,0,0,4,3,2,0,1,0,0,8,2,0
2011,Other,Pitcairn Islands (British),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,EU 8,Poland,6,5,0,0,0,5,1,0,0,0,0,0,0,5,0,0,0,0,0,0,5,1,0
2011,EU 14,Portugal,2,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,0
2011,America North,Puerto Rico,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,Middle East,Qatar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,Other,Refugee,391,382,307,3,0,72,9,0,70,55,8,7,0,5,0,0,0,0,361,3,18,9,0
2011,Africa Sub-Saharan,Reunion,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,EU 2,Romania,4,3,1,0,0,2,1,0,0,0,0,0,0,2,1,0,1,0,1,0,2,1,0
2011,Europe Other,Russia,61,59,19,4,0,36,2,0,33,11,14,6,2,8,7,4,2,1,28,5,24,2,2
2011,Africa Sub-Saharan,Rwanda,22,21,6,1,0,14,0,1,12,4,7,1,0,4,3,1,1,1,10,1,10,0,1
2011,Oceania,Samoa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,Europe Other,San Marino,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,Africa Sub-Saharan,Sao Tome and Principe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,Middle East,Saudi Arabia,12,11,7,0,0,4,1,0,3,0,2,1,0,0,2,1,1,0,7,0,4,1,0
2011,Africa Sub-Saharan,Senegal,50,46,8,2,0,36,3,1,31,2,27,1,1,6,3,2,0,1,10,2,33,3,2
2011,Europe Other,Serbia,7,3,0,0,0,3,4,0,1,0,1,0,0,1,3,0,2,1,0,0,3,4,0
2011,Europe Other,Serbia and Montenegro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,Africa Sub-Saharan,Seychelles,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
2011,Africa Sub-Saharan,Sierra Leone,60,57,11,7,0,39,3,0,34,7,26,1,0,7,1,1,0,0,16,8,33,3,0
2011,Asia South East,Singapore,2,2,0,0,0,2,0,0,2,2,0,0,0,0,0,0,0,0,1,1,0,0,0
2011,EU 8,Slovakia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,EU 8,Slovenia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,Oceania,Solomon Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,Africa Sub-Saharan,Somalia,565,536,339,45,1,151,24,5,137,64,53,17,3,28,6,1,3,2,392,46,96,23,8
2011,Africa Sub-Saharan,South Africa,57,50,2,4,0,44,6,1,24,5,18,1,0,16,13,8,5,0,3,8,39,6,1
2011,Other,South Georgia and South Sandwich Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,EU 14,Spain,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2011,Asia South,Sri Lanka,1706,1635,330,35,4,1266,63,8,1201,494,657,44,6,185,175,112,35,28,802,56,776,60,12
2011,Other,St. Helena (British),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,America Central and South,St. Kitts and Nevis,1,1,0,0,0,1,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0
2011,America Central and South,St. Lucia,3,2,0,0,0,2,1,0,1,0,0,1,0,1,0,0,0,0,0,0,2,1,0
2011,America Central and South,St. Maarten (Dutch Part),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,America Central and South,St. Martin (French Part),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,America Central and South,St. Pierre and Miquelon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,America Central and South,St. Vincent and the Grenadines,4,4,1,0,0,3,0,0,3,0,3,0,0,3,0,0,0,0,1,0,3,0,0
2011,Other,Stateless,70,64,9,2,0,53,6,0,38,7,30,0,1,14,6,5,0,1,14,4,45,6,1
2011,Africa North,Sudan,657,643,470,0,0,173,11,3,95,40,40,13,2,79,7,7,0,0,509,2,131,11,4
2011,Africa Sub-Saharan,Sudan (South),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,America Central and South,Surinam,1,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0
2011,Europe Other,Svalbard and Jan Mayen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,Africa Sub-Saharan,Swaziland,4,4,0,2,0,2,0,0,2,0,1,1,0,1,0,0,0,0,0,2,2,0,0
2011,EU 14,Sweden,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,Europe Other,Switzerland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,Middle East,Syria,341,334,150,10,0,174,6,1,157,79,57,17,4,10,8,4,2,2,221,16,93,6,5
2011,Asia East,Taiwan,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
2011,Asia Central,Tajikistan,2,2,0,0,0,2,0,0,2,0,2,0,0,0,1,1,0,0,0,0,2,0,0
2011,Africa Sub-Saharan,Tanzania,43,38,2,4,0,32,5,0,22,3,17,2,0,15,4,2,0,2,3,6,29,5,0
2011,Asia South East,Thailand,12,10,1,1,0,8,2,0,4,2,1,1,0,3,1,0,0,1,3,1,6,2,0
2011,Africa Sub-Saharan,Togo,8,7,0,0,0,7,1,0,5,2,3,0,0,2,0,0,0,0,2,0,5,1,0
2011,Oceania,Tokelau,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,Oceania,Tonga,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,America Central and South,Trinidad and Tobago,12,12,2,2,0,8,0,0,6,5,1,0,0,2,1,0,1,0,5,4,3,0,0
2011,Africa North,Tunisia,40,33,3,0,0,30,7,0,18,1,15,2,0,15,9,2,1,6,3,1,29,7,0
2011,Europe Other,Turkey,165,151,36,10,2,103,14,0,87,38,46,2,1,27,14,4,5,5,73,13,64,14,1
2011,Asia Central,Turkmenistan,3,2,0,0,0,2,1,0,2,1,1,0,0,0,1,1,0,0,0,1,1,1,0
2011,Other,Turks and Caicos Islands (British),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,Oceania,Tuvalu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,Africa Sub-Saharan,Uganda,266,253,89,15,2,147,10,3,145,39,89,12,5,43,11,6,3,2,120,22,106,10,8
2011,Europe Other,Ukraine,33,26,4,0,0,22,7,0,13,2,11,0,0,11,6,4,0,2,5,1,20,7,0
2011,Middle East,United Arab Emirates,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2011,America North,United States,23,9,3,0,0,6,14,0,5,0,4,1,0,13,6,2,3,1,3,0,6,14,0
2011,America Central and South,Uruguay,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
2011,Asia Central,Uzbekistan,25,23,8,0,0,15,2,0,9,0,6,2,1,6,6,3,3,0,8,0,14,2,1
2011,Oceania,Vanuatu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,Europe Other,Vatican City,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,America Central and South,Venezuela,9,8,0,0,0,8,1,0,5,0,5,0,0,4,4,4,0,0,0,0,8,1,0
2011,Asia South East,Vietnam,323,172,10,35,1,126,147,4,70,16,45,8,1,94,19,8,6,5,22,38,112,146,5
2011,Other,Virgin Islands (British),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,America North,Virgin Islands (US),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,Oceania,Wallis and Futuna,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,Africa North,Western Sahara,3,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0
2011,Middle East,Yemen,37,36,7,5,0,24,1,0,22,9,12,0,1,3,5,0,4,1,15,6,14,1,1
2011,Africa Sub-Saharan,Zambia,17,14,1,1,0,12,3,0,10,2,8,0,0,5,3,2,1,0,2,2,10,3,0
2011,Africa Sub-Saharan,Zimbabwe,552,534,70,93,4,367,16,2,346,84,238,24,0,13,42,26,13,3,125,123,286,16,2
2012,Asia Central,Afghanistan,986,904,166,151,24,563,74,8,505,179,282,38,6,196,144,109,13,22,331,134,433,74,14
2012,Europe Other,Albania,800,667,52,142,16,457,133,0,347,98,223,23,3,223,130,44,54,32,136,163,366,132,3
2012,Africa North,Algeria,251,168,12,12,5,139,81,2,81,10,68,1,2,44,32,5,11,16,22,17,127,81,4
2012,Oceania,American Samoa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,Europe Other,Andorra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,Africa Sub-Saharan,Angola,32,29,3,6,0,20,3,0,19,3,14,2,0,2,2,1,0,1,5,5,19,3,0
2012,Other,Anguilla (British),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,America Central and South,Antigua and Barbuda,2,2,0,0,0,2,0,0,1,0,1,0,0,1,1,0,1,0,0,0,2,0,0
2012,America Central and South,Argentina,3,2,0,0,0,2,1,0,0,0,0,0,0,2,1,0,1,0,0,0,2,1,0
2012,Europe Other,Armenia,8,8,2,1,0,5,0,0,4,1,2,1,0,0,1,0,1,0,3,1,4,0,0
2012,America Central and South,Aruba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,Oceania,Australia,2,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,0
2012,EU 14,Austria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,Europe Other,Azerbaijan,13,12,6,0,0,6,1,0,6,1,3,1,1,0,2,2,0,0,7,0,4,1,1
2012,America Central and South,"Bahamas, The",1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
2012,Middle East,Bahrain,28,24,17,0,0,7,4,0,5,2,3,0,0,0,2,0,2,0,19,0,5,4,0
2012,Asia South,Bangladesh,1052,816,23,22,8,763,235,1,423,40,362,19,2,333,295,198,66,31,54,36,724,235,3
2012,America Central and South,Barbados,2,2,0,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,0,0
2012,Europe Other,Belarus,20,17,12,0,0,5,3,0,5,3,2,0,0,3,0,0,0,0,15,0,2,3,0
2012,EU 14,Belgium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,America Central and South,Belize,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,Africa Sub-Saharan,Benin,4,4,0,0,0,4,0,0,3,0,2,0,1,1,1,1,0,0,0,0,3,0,1
2012,Other,Bermuda (British),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,Asia South,Bhutan,9,9,7,0,0,2,0,0,2,2,0,0,0,0,0,0,0,0,9,0,0,0,0
2012,America Central and South,Bolivia,12,6,1,0,1,4,6,0,2,0,2,0,0,2,3,2,1,0,1,1,4,6,0
2012,America Central and South,"Bonaire, Sint Eustatius and Saba",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,Europe Other,Bosnia and Herzegovina,2,2,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0
2012,Africa Sub-Saharan,Botswana,15,13,1,0,1,11,2,0,9,0,8,1,0,5,4,3,1,0,1,1,11,2,0
2012,America Central and South,Brazil,17,8,0,0,4,4,9,0,1,0,1,0,0,8,4,3,1,0,0,4,4,9,0
2012,Other,British overseas citizens,279,274,184,6,0,84,5,0,83,68,4,11,0,0,2,1,0,1,249,7,18,5,0
2012,Asia South East,Brunei,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,EU 2,Bulgaria,5,4,0,0,0,4,1,0,2,0,2,0,0,2,1,0,1,0,0,0,4,1,0
2012,Africa Sub-Saharan,Burkina,3,3,1,0,0,2,0,0,2,0,2,0,0,0,0,0,0,0,1,0,2,0,0
2012,Asia South East,Burma,72,68,42,0,0,26,3,1,21,12,5,3,1,0,6,1,3,2,54,0,13,3,2
2012,Africa Sub-Saharan,Burundi,4,4,1,0,0,3,0,0,2,1,1,0,0,1,0,0,0,0,2,0,2,0,0
2012,Asia South East,Cambodia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,Africa Sub-Saharan,Cameroon,116,111,34,0,2,75,4,1,70,23,40,5,2,17,9,6,1,2,57,2,51,3,3
2012,America North,Canada,8,5,0,0,0,5,3,0,1,0,0,1,0,7,1,0,1,0,0,0,5,3,0
2012,Africa Sub-Saharan,Cape Verde,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,Other,Cayman Islands (British),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,Africa Sub-Saharan,Central African Republic,5,5,0,0,0,5,0,0,5,2,3,0,0,1,0,0,0,0,2,0,3,0,0
2012,Africa Sub-Saharan,Chad,10,10,0,0,0,10,0,0,3,1,2,0,0,6,0,0,0,0,1,0,9,0,0
2012,America Central and South,Chile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,Asia East,China,695,551,25,27,18,481,137,7,338,47,272,14,5,117,79,49,12,18,57,60,429,137,12
2012,Oceania,Christmas Island,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,Oceania,Cocos (Keeling) Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,America Central and South,Colombia,15,12,1,0,0,11,3,0,6,1,5,0,0,8,1,1,0,0,2,0,10,3,0
2012,Africa Sub-Saharan,Comoros,4,4,2,0,0,2,0,0,2,1,1,0,0,0,0,0,0,0,3,0,1,0,0
2012,Africa Sub-Saharan,Congo,20,17,3,2,1,11,3,0,9,5,3,1,0,3,1,0,1,0,7,4,6,3,0
2012,Africa Sub-Saharan,Congo (Democratic Republic),222,206,82,11,2,111,13,3,101,43,54,2,2,13,5,3,1,1,121,15,69,13,4
2012,Oceania,Cook Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,America Central and South,Costa Rica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,EU Other,Croatia,2,2,0,1,0,1,0,0,1,0,1,0,0,0,1,1,0,0,0,1,1,0,0
2012,America Central and South,Cuba,5,5,0,0,0,5,0,0,5,2,3,0,0,0,0,0,0,0,2,0,3,0,0
2012,America Central and South,Curacao,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,EU Other,Cyprus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,Europe Other,Cyprus (Northern part of),1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2012,EU 8,Czech Republic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,EU 14,Denmark,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,Africa Sub-Saharan,Djibouti,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
2012,America Central and South,Dominica,5,3,0,0,0,3,2,0,3,3,0,0,0,1,2,2,0,0,0,3,0,2,0
2012,America Central and South,Dominican Republic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,Asia South East,East Timor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,America Central and South,Ecuador,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,Africa North,Egypt,233,202,33,2,0,167,30,1,140,29,102,9,0,29,28,12,7,9,59,4,140,29,1
2012,America Central and South,El Salvador,3,3,0,0,0,3,0,0,2,1,1,0,0,0,1,1,0,0,0,1,2,0,0
2012,Africa Sub-Saharan,Equatorial Guinea,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2012,Africa Sub-Saharan,Eritrea,730,714,595,9,3,107,12,4,81,44,27,9,1,22,0,0,0,0,639,11,63,12,5
2012,EU 8,Estonia,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2012,Africa Sub-Saharan,Ethiopia,139,135,50,5,0,80,4,0,76,29,43,4,0,11,3,2,0,1,79,3,53,4,0
2012,Other,Falkland Islands (British),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,Europe Other,Faroe Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,Oceania,Fiji,3,3,1,1,0,1,0,0,1,0,1,0,0,0,1,1,0,0,1,1,1,0,0
