First responder type,First responder,Exploitation type,Age at exploitation,Gender,Nationality,People
NGO and third sector,Barnardo's,Total,Total,Total,Afghan,0
NGO and third sector,Barnardo's,Total,Total,Total,Albanian,1
NGO and third sector,Barnardo's,Total,Total,Total,Algerian,0
NGO and third sector,Barnardo's,Total,Total,Total,American,0
NGO and third sector,Barnardo's,Total,Total,Total,American Kenyan,0
NGO and third sector,Barnardo's,Total,Total,Total,Angolan,0
NGO and third sector,Barnardo's,Total,Total,Total,Bangladeshi,0
NGO and third sector,Barnardo's,Total,Total,Total,Beninese Nigerian,0
NGO and third sector,Barnardo's,Total,Total,Total,Brazilian,0
NGO and third sector,Barnardo's,Total,Total,Total,Bulgarian,0
NGO and third sector,Barnardo's,Total,Total,Total,Burmese,0
NGO and third sector,Barnardo's,Total,Total,Total,Chadian,0
NGO and third sector,Barnardo's,Total,Total,Total,Chinese,0
NGO and third sector,Barnardo's,Total,Total,Total,Congolese (Congo),0
NGO and third sector,Barnardo's,Total,Total,Total,Congolese (DRC),0
NGO and third sector,Barnardo's,Total,Total,Total,Dutch,0
NGO and third sector,Barnardo's,Total,Total,Total,Egyptian,1
NGO and third sector,Barnardo's,Total,Total,Total,Eritrean,1
NGO and third sector,Barnardo's,Total,Total,Total,Ethiopian,0
NGO and third sector,Barnardo's,Total,Total,Total,Filipino,0
NGO and third sector,Barnardo's,Total,Total,Total,Indian,0
NGO and third sector,Barnardo's,Total,Total,Total,Indonesian,0
NGO and third sector,Barnardo's,Total,Total,Total,Iranian,1
NGO and third sector,Barnardo's,Total,Total,Total,Iraqi,0
NGO and third sector,Barnardo's,Total,Total,Total,Italian,0
NGO and third sector,Barnardo's,Total,Total,Total,Jamaican,0
NGO and third sector,Barnardo's,Total,Total,Total,Kosovan,0
NGO and third sector,Barnardo's,Total,Total,Total,Kuwaiti,1
NGO and third sector,Barnardo's,Total,Total,Total,Mauritian,0
NGO and third sector,Barnardo's,Total,Total,Total,Moroccan,2
NGO and third sector,Barnardo's,Total,Total,Total,Namibian,0
NGO and third sector,Barnardo's,Total,Total,Total,Nigerian,0
NGO and third sector,Barnardo's,Total,Total,Total,Pakistani,0
NGO and third sector,Barnardo's,Total,Total,Total,Polish,0
NGO and third sector,Barnardo's,Total,Total,Total,Polish UK,1
NGO and third sector,Barnardo's,Total,Total,Total,Romanian,0
NGO and third sector,Barnardo's,Total,Total,Total,Slovak,0
NGO and third sector,Barnardo's,Total,Total,Total,Somali,1
NGO and third sector,Barnardo's,Total,Total,Total,South African,0
NGO and third sector,Barnardo's,Total,Total,Total,Sri Lankan,0
NGO and third sector,Barnardo's,Total,Total,Total,Sudanese,2
NGO and third sector,Barnardo's,Total,Total,Total,Tanzanian,0
NGO and third sector,Barnardo's,Total,Total,Total,UK,9
NGO and third sector,Barnardo's,Total,Total,Total,Vietnamese,0
NGO and third sector,Barnardo's,Total,Total,Total,Total,20
NGO and third sector,Barnardo's,Criminal,Total,Total,Afghan,0
NGO and third sector,Barnardo's,Criminal,Total,Total,Albanian,0
NGO and third sector,Barnardo's,Criminal,Total,Total,Algerian,0
NGO and third sector,Barnardo's,Criminal,Total,Total,American,0
NGO and third sector,Barnardo's,Criminal,Total,Total,American Kenyan,0
NGO and third sector,Barnardo's,Criminal,Total,Total,Angolan,0
