First responder type,First responder,Exploitation type,Age at exploitation,Gender,Nationality,People
Local Authority,Local Authority,Criminal,Total,Total,Afghan,1
Local Authority,Local Authority,Criminal,Total,Total,Albanian,6
Local Authority,Local Authority,Criminal,Total,Total,Albanian Romanian,1
Local Authority,Local Authority,Criminal,Total,Total,Albanian UK,1
Local Authority,Local Authority,Criminal,Total,Total,Algerian,3
Local Authority,Local Authority,Criminal,Total,Total,Algerian Unknown,0
Local Authority,Local Authority,Criminal,Total,Total,Andorran Sudanese,0
Local Authority,Local Authority,Criminal,Total,Total,Bahraini UK,1
Local Authority,Local Authority,Criminal,Total,Total,Bangladeshi,2
Local Authority,Local Authority,Criminal,Total,Total,Bangladeshi UK,1
Local Authority,Local Authority,Criminal,Total,Total,Belgian UK,0
Local Authority,Local Authority,Criminal,Total,Total,Brazilian,0
Local Authority,Local Authority,Criminal,Total,Total,Bulgarian,1
Local Authority,Local Authority,Criminal,Total,Total,Cameroonian UK,1
Local Authority,Local Authority,Criminal,Total,Total,Central African,3
Local Authority,Local Authority,Criminal,Total,Total,Central African UK,2
Local Authority,Local Authority,Criminal,Total,Total,Chadian,0
Local Authority,Local Authority,Criminal,Total,Total,Chilean Spanish,1
Local Authority,Local Authority,Criminal,Total,Total,Chinese,0
Local Authority,Local Authority,Criminal,Total,Total,Chinese UK,0
Local Authority,Local Authority,Criminal,Total,Total,Citizen of Antigua and Barbuda,0
Local Authority,Local Authority,Criminal,Total,Total,Colombian,0
Local Authority,Local Authority,Criminal,Total,Total,Colombian UK,1
Local Authority,Local Authority,Criminal,Total,Total,Czech,0
Local Authority,Local Authority,Criminal,Total,Total,Dutch,1
Local Authority,Local Authority,Criminal,Total,Total,Dutch Moroccan,1
Local Authority,Local Authority,Criminal,Total,Total,Dutch Somali,1
Local Authority,Local Authority,Criminal,Total,Total,Ecuadorean,1
Local Authority,Local Authority,Criminal,Total,Total,Egyptian,0
Local Authority,Local Authority,Criminal,Total,Total,Eritrean,1
Local Authority,Local Authority,Criminal,Total,Total,Eritrean Ethiopian,0
Local Authority,Local Authority,Criminal,Total,Total,Eritrean Sudanese,0
Local Authority,Local Authority,Criminal,Total,Total,Ethiopian,0
Local Authority,Local Authority,Criminal,Total,Total,Fijian UK,1
Local Authority,Local Authority,Criminal,Total,Total,French,0
Local Authority,Local Authority,Criminal,Total,Total,French Nigerian,1
Local Authority,Local Authority,Criminal,Total,Total,Gambian,0
Local Authority,Local Authority,Criminal,Total,Total,Gambian Italian,0
Local Authority,Local Authority,Criminal,Total,Total,Gambian UK,2
Local Authority,Local Authority,Criminal,Total,Total,Ghanaian,0
Local Authority,Local Authority,Criminal,Total,Total,Ghanaian Irish,0
Local Authority,Local Authority,Criminal,Total,Total,Ghanaian Italian,0
Local Authority,Local Authority,Criminal,Total,Total,Ghanaian UK,1
Local Authority,Local Authority,Criminal,Total,Total,Greek Russian,1
Local Authority,Local Authority,Criminal,Total,Total,Greek UK,1
Local Authority,Local Authority,Criminal,Total,Total,Grenadian,0
Local Authority,Local Authority,Criminal,Total,Total,Guinean,0
